<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.10.16	15428.89	15549.09	15375.09	15542.29	15566	0	0
2013.10.17	15503.19	15549.59	15377.59	15540.39	11866	0	0
2013.10.18	15567.19	15588.89	15497.19	15568.19	10997	0	0
2013.10.21	15577.19	15601.69	15535.19	15563.89	9843	0	0
2013.10.22	15556.89	15692.39	15539.79	15639.49	12223	0	0
2013.10.23	15632.79	15633.69	15540.79	15586.09	13280	0	0
2013.10.24	15600.39	15703.29	15599.89	15683.49	14432	0	0
2013.10.25	15698.79	15744.29	15652.39	15744.29	13218	0	0
2013.10.28	15781.59	15810.59	15707.89	15745.99	10331	0	0
2013.10.29	15736.29	15856.09	15720.79	15856.09	11063	0	0
2013.10.30	15842.99	15911.99	15746.99	15793.69	13224	0	0
2013.10.31	15733.59	15827.59	15717.79	15735.29	14306	0	0
2013.11.01	15749.59	15822.39	15716.79	15790.59	13278	0	0
2013.11.04	15799.29	15842.59	15760.89	15813.49	8628	0	0
2013.11.05	15806.79	15826.19	15694.59	15792.69	10305	0	0
2013.11.06	15805.49	15923.59	15802.99	15919.59	10373	0	0
2013.11.07	15898.89	16005.79	15761.49	15776.19	14410	0	0
2013.11.08	15790.59	15938.49	15716.49	15937.59	17526	0	0
2013.11.11	15915.39	15967.29	15899.19	15951.89	10015	0	0
2013.11.12	15963.69	15973.39	15881.49	15928.09	12872	0	0
2013.11.13	15930.89	15997.89	15835.19	15992.89	13681	0	0
2013.11.14	16018.69	16059.79	15973.59	16050.59	13796	0	0
2013.11.15	16040.39	16138.59	16039.89	16136.59	8532	0	0
2013.11.18	16115.39	16202.69	16105.99	16150.99	10037	0	0
2013.11.19	16151.29	16200.69	16117.89	16139.89	14085	0	0
2013.11.20	16137.69	16191.79	16038.29	16076.39	18005	0	0
2013.11.21	16085.19	16189.69	16051.49	16184.69	12337	0	0
2013.11.22	16189.49	16240.69	16150.89	16236.99	10979	0	0
2013.11.25	16293.39	16296.39	16229.69	16252.79	9022	0	0
2013.11.26	16264.69	16296.69	16242.29	16250.39	8517	0	0
2013.11.27	16259.79	16286.69	16231.39	16273.59	7804	0	0
2013.11.28	16283.49	16321.79	16280.29	16305.69	2957	0	0
2013.11.29	16301.19	16349.89	16248.49	16266.59	5595	0	0
2013.12.02	16280.49	16299.29	16160.29	16181.49	10105	0	0
2013.12.03	16180.79	16186.29	16032.59	16086.49	12090	0	0
2013.12.04	16088.89	16133.49	15966.99	16063.49	14027	0	0
2013.12.05	16072.39	16077.69	15983.59	15997.59	15965	0	0
2013.12.06	16013.99	16251.79	16008.49	16192.19	15949	0	0
2013.12.09	16210.09	16233.29	16181.89	16202.39	9643	0	0
2013.12.10	16213.29	16226.09	16141.99	16151.39	9804	0	0
2013.12.11	16196.79	16200.29	16002.09	16011.89	13560	0	0
2013.12.12	16027.29	16037.29	15877.69	15915.79	14966	0	0
2013.12.13	15915.29	15967.79	15892.89	15931.49	11525	0	0
2013.12.16	15940.89	16108.79	15839.89	16060.29	11839	0	0
2013.12.17	16048.39	16098.59	16009.89	16048.59	9557	0	0
2013.12.18	16063.09	16348.69	15981.59	16347.69	19005	0	0
2013.12.19	16332.09	16370.79	16272.69	16351.59	13736	0	0
2013.12.20	16353.49	16462.69	16349.29	16410.69	10499	0	0
2013.12.23	16459.59	16493.19	16441.79	16469.79	8555	0	0
2013.12.24	16459.19	16535.19	16458.19	16528.19	3701	0	0
2013.12.26	16540.89	16657.89	16540.89	16655.39	4423	0	0
2013.12.27	16630.29	16700.39	16626.29	16654.39	7439	0	0
2013.12.30	16648.29	16679.39	16647.69	16674.99	7462	0	0
2013.12.31	16677.29	16677.79	16670.29	16677.69	231	0	0
2014.01.02	16705.99	16728.49	16592.59	16618.19	12546	0	0
2014.01.03	16636.09	16693.59	16573.39	16640.39	10359	0	0
2014.01.06	16661.19	16711.69	16578.79	16598.49	13026	0	0
2014.01.07	16607.29	16736.09	16605.29	16701.49	9418	0	0
2014.01.08	16690.79	16722.09	16591.29	16635.69	12781	0	0
2014.01.09	16627.99	16704.19	16550.99	16620.89	13272	0	0
2014.01.10	16631.19	16695.79	16552.49	16612.09	15229	0	0
2014.01.13	16604.89	16629.59	16413.79	16430.99	14088	0	0
2014.01.14	16450.89	16546.89	16416.59	16543.99	13221	0	0
2014.01.15	16535.79	16679.19	16525.79	16656.69	11362	0	0
2014.01.16	16659.09	16662.49	16549.29	16592.69	10471	0	0
2014.01.17	16571.49	16669.69	16559.49	16617.59	11986	0	0
2014.01.20	16612.09	16637.89	16602.09	16630.99	3014	0	0
2014.01.21	16660.99	16722.99	16491.19	16586.79	12808	0	0
2014.01.22	16558.59	16615.89	16505.39	16553.09	9985	0	0
2014.01.23	16565.39	16573.89	16313.09	16376.09	13717	0	0
2014.01.24	16385.89	16414.29	16059.09	16059.09	17358	0	0
2014.01.27	16037.39	16117.89	15956.79	16014.59	20070	0	0
2014.01.28	16046.39	16122.99	16034.09	16099.89	14961	0	0
2014.01.29	16187.69	16209.29	15880.99	15920.29	22946	0	0
2014.01.30	15955.09	16082.09	15902.99	16021.89	17205	0	0
2014.01.31	15985.69	15987.59	15786.49	15870.69	22779	0	0
2014.02.03	15907.99	15919.09	15530.69	15550.59	23798	0	0
2014.02.04	15577.89	15657.89	15520.09	15617.69	20264	0	0
2014.02.05	15592.39	15654.09	15513.89	15620.29	20756	0	0
2014.02.06	15644.49	15807.39	15612.49	15801.89	28214	0	0
2014.02.07	15785.69	15972.49	15702.99	15964.59	18260	0	0
2014.02.10	15967.29	15980.79	15907.89	15972.99	13225	0	0
2014.02.11	15983.49	16201.39	15979.99	16166.69	13527	0	0
2014.02.12	16158.19	16235.69	16102.99	16135.89	12602	0	0
2014.02.13	16116.89	16213.59	16016.39	16200.49	13821	0	0
2014.02.14	16195.99	16350.79	16114.49	16325.59	25982	0	0
2014.02.17	16308.89	16390.39	16308.89	16363.89	3488	0	0
2014.02.18	16354.79	16378.29	16279.59	16304.79	23260	0	0
2014.02.19	16291.29	16401.29	16204.89	16214.39	27786	0	0
2014.02.20	16234.49	16338.09	16147.99	16305.39	26024	0	0
2014.02.21	16322.19	16368.09	16268.59	16280.59	18792	0	0
2014.02.24	16309.59	16475.19	16237.09	16382.09	17702	0	0
2014.02.25	16390.09	16429.79	16317.69	16357.39	19940	0	0
2014.02.26	16390.89	16434.89	16327.99	16377.09	20693	0	0
2014.02.27	16376.79	16452.39	16288.29	16448.39	24259	0	0
2014.02.28	16449.39	16573.49	16397.19	16502.49	21724	0	0
2014.03.03	16341.99	16407.49	16245.09	16343.89	34073	0	0
2014.03.04	16352.39	16594.69	16350.39	16566.29	25236	0	0
2014.03.05	16554.29	16591.29	16517.49	16536.29	18283	0	0
2014.03.06	16538.49	16624.49	16534.49	16601.79	17500	0	0
2014.03.07	16607.29	16688.79	16570.89	16625.99	23219	0	0
2014.03.10	16598.49	16641.99	16508.29	16593.49	22094	0	0
2014.03.11	16583.49	16636.99	16498.39	16526.29	21125	0	0
2014.03.12	16511.59	16540.59	16431.69	16511.29	21483	0	0
2014.03.13	16514.99	16582.49	16258.09	16284.89	26747	0	0
2014.03.14	16299.69	16339.99	16217.59	16241.09	29334	0	0
2014.03.17	16178.59	16447.39	16174.59	16416.29	21728	0	0
2014.03.18	16427.29	16544.79	16372.29	16505.89	19576	0	0
2014.03.19	16495.89	16537.39	16296.19	16397.39	21376	0	0
2014.03.20	16390.39	16529.29	16325.39	16507.39	21933	0	0
2014.03.21	16498.89	16630.79	16462.99	16470.49	21970	0	0
2014.03.24	16478.99	16554.49	16387.79	16454.09	27717	0	0
2014.03.25	16466.09	16583.09	16445.59	16547.39	25257	0	0
2014.03.26	16564.39	16644.39	16444.99	16444.99	25499	0	0
2014.03.27	16435.99	16482.49	16364.99	16435.59	30142	0	0
2014.03.28	16446.09	16592.09	16433.09	16492.19	22683	0	0
2014.03.31	16463.89	16655.79	16461.39	16635.39	19737	0	0
2014.04.01	16633.89	16740.49	16611.89	16701.99	18364	0	0
2014.04.02	16701.09	16763.19	16681.09	16746.69	18211	0	0
2014.04.03	16738.69	16783.19	16702.79	16741.79	19045	0	0
2014.04.04	16759.79	16825.79	16563.69	16596.19	25151	0	0
2014.04.07	16597.69	16609.19	16418.79	16419.79	28204	0	0
2014.04.08	16435.49	16471.49	16353.69	16433.69	25317	0	0
2014.04.09	16426.19	16613.59	16420.69	16612.59	19410	0	0
2014.04.10	16616.59	16629.59	16327.29	16341.99	28630	0	0
2014.04.11	16370.49	16396.49	16188.49	16203.29	33365	0	0
2014.04.14	16189.29	16362.89	16161.29	16345.19	27665	0	0
2014.04.15	16349.19	16446.39	16237.89	16435.89	32802	0	0
2014.04.16	16483.99	16598.29	16467.99	16596.79	27471	0	0
2014.04.17	16552.29	16628.49	16523.29	16585.99	22803	0	0
2014.04.21	16592.49	16635.39	16579.89	16618.29	10413	0	0
2014.04.22	16610.29	16739.89	16586.79	16691.49	14063	0	0
2014.04.23	16703.89	16718.79	16651.49	16676.49	14004	0	0
2014.04.24	16727.19	16752.69	16626.49	16675.19	14095	0	0
