<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.04	20:00:00	27822.00	27889.50	27765.00	27871.50	3087	0	500
2020.10.05	00:00:00	27872.50	27918.50	27845.50	27845.50	8651	0	500
2020.10.05	04:00:00	27846.50	27912.50	27780.00	27819.00	9341	0	400
2020.10.05	08:00:00	27817.00	27915.00	27812.00	27880.00	8592	0	400
2020.10.05	12:00:00	27878.00	28082.00	27859.00	28049.00	15073	0	400
2020.10.05	16:00:00	28048.50	28160.50	27981.50	28139.00	13995	0	400
2020.10.05	20:00:00	28138.50	28154.00	28087.50	28114.50	3875	0	400
2020.10.06	00:00:00	28114.50	28207.50	28075.50	28172.50	7229	0	500
2020.10.06	04:00:00	28173.00	28200.50	28079.00	28096.50	7422	0	400
2020.10.06	08:00:00	28095.50	28216.00	28039.00	28211.00	9554	0	400
2020.10.06	12:00:00	28210.50	28284.50	28132.50	28155.50	16884	0	400
2020.10.06	16:00:00	28154.50	28352.50	27726.00	27770.00	18692	0	400
2020.10.06	20:00:00	27766.00	27838.00	27651.00	27767.00	5648	0	400
2020.10.07	00:00:00	27761.50	27892.50	27737.50	27834.50	8325	0	500
2020.10.07	04:00:00	27835.00	28035.50	27825.50	28007.00	8164	0	400
2020.10.07	08:00:00	28006.00	28032.50	27942.00	28026.50	7757	0	400
2020.10.07	12:00:00	28019.00	28244.00	28002.00	28195.50	15938	0	400
2020.10.07	16:00:00	28195.00	28369.00	28122.00	28289.00	15788	0	400
2020.10.07	20:00:00	28291.50	28355.00	28274.00	28348.00	3217	0	400
2020.10.08	00:00:00	28344.00	28410.00	28288.50	28382.50	7719	0	500
2020.10.08	04:00:00	28383.50	28507.50	28365.00	28433.50	7787	0	400
2020.10.08	08:00:00	28434.00	28503.50	28335.00	28483.50	8880	0	400
2020.10.08	12:00:00	28487.00	28563.00	28264.00	28315.00	16673	0	400
2020.10.08	16:00:00	28314.00	28432.50	28309.00	28423.00	11028	0	400
2020.10.08	20:00:00	28414.50	28577.00	28399.00	28559.00	2599	0	400
2020.10.09	00:00:00	28558.00	28597.00	28513.00	28565.00	4153	0	500
2020.10.09	04:00:00	28564.50	28570.00	28470.50	28524.50	4964	0	400
2020.10.09	08:00:00	28523.50	28575.50	28497.50	28534.50	5078	0	400
2020.10.09	12:00:00	28535.50	28672.50	28435.50	28642.00	9176	0	400
2020.10.09	16:00:00	28641.00	28670.50	28514.50	28580.00	9431	0	400
2020.10.09	20:00:00	28585.50	28679.50	28579.00	28658.00	950	0	400
2020.10.11	20:00:00	28570.00	28627.00	28560.50	28593.50	2183	0	500
2020.10.12	00:00:00	28596.00	28650.50	28544.00	28633.50	4986	0	500
2020.10.12	04:00:00	28632.50	28712.00	28617.50	28642.00	5064	0	400
2020.10.12	08:00:00	28640.00	28704.00	28587.00	28642.00	6722	0	400
2020.10.12	12:00:00	28642.50	28879.50	28640.00	28836.50	9329	0	400
2020.10.12	16:00:00	28836.00	28956.50	28816.00	28836.00	10180	0	400
2020.10.12	20:00:00	28840.50	28931.50	28826.50	28901.50	2408	0	400
2020.10.13	00:00:00	28896.50	28903.50	28762.00	28815.50	5556	0	500
2020.10.13	04:00:00	28816.50	28895.00	28721.00	28752.00	6230	0	400
2020.10.13	08:00:00	28755.50	28838.50	28724.00	28789.50	7437	0	400
2020.10.13	12:00:00	28789.00	28808.00	28695.00	28752.50	10636	0	400
2020.10.13	16:00:00	28751.00	28758.50	28598.50	28675.50	11387	0	400
2020.10.13	20:00:00	28665.50	28744.50	28654.00	28728.50	2141	0	400
2020.10.14	00:00:00	28732.00	28790.00	28658.50	28773.50	4801	0	500
2020.10.14	04:00:00	28774.50	28801.50	28692.00	28765.00	5043	0	400
2020.10.14	08:00:00	28763.50	28836.50	28641.50	28713.00	7167	0	400
2020.10.14	12:00:00	28705.00	28802.00	28496.50	28511.00	10295	0	400
2020.10.14	16:00:00	28510.50	28611.50	28454.00	28514.50	11731	0	400
2020.10.14	20:00:00	28516.00	28563.50	28474.50	28547.50	3297	0	400
2020.10.15	00:00:00	28543.50	28559.50	28406.50	28420.50	5788	0	500
2020.10.15	04:00:00	28419.50	28488.00	28337.00	28388.00	6028	0	400
2020.10.15	08:00:00	28386.00	28390.00	28181.00	28243.00	8208	0	400
2020.10.15	12:00:00	28241.00	28475.00	28156.50	28372.00	11368	0	400
2020.10.15	16:00:00	28368.50	28535.50	28346.50	28499.50	10825	0	400
2020.10.15	20:00:00	28501.50	28571.00	28491.50	28541.00	2136	0	400
2020.10.16	00:00:00	28542.00	28595.00	28478.00	28499.00	5110	0	500
2020.10.16	04:00:00	28500.00	28529.50	28443.50	28496.50	5549	0	400
2020.10.16	08:00:00	28494.50	28587.50	28441.50	28559.50	6440	0	400
2020.10.16	12:00:00	28560.50	28844.00	28544.50	28752.00	10055	0	400
2020.10.16	16:00:00	28750.50	28781.50	28603.00	28606.50	10062	0	400
2020.10.16	20:00:00	28609.50	28609.50	28516.50	28538.00	1231	0	400
2020.10.18	20:00:00	28580.50	28642.00	28580.50	28625.00	1581	0	500
2020.10.19	00:00:00	28623.50	28702.00	28623.50	28688.00	4486	0	500
2020.10.19	04:00:00	28686.50	28783.50	28676.50	28724.50	4385	0	400
2020.10.19	08:00:00	28722.50	28758.50	28690.50	28700.50	4269	0	400
2020.10.19	12:00:00	28704.50	28709.50	28469.50	28533.00	9850	0	400
2020.10.19	16:00:00	28532.50	28556.00	28138.00	28210.00	11189	0	400
2020.10.19	20:00:00	28225.50	28347.50	28204.50	28342.50	2957	0	400
2020.10.20	00:00:00	28339.00	28378.00	28256.00	28314.50	6056	0	500
2020.10.20	04:00:00	28314.00	28338.50	28233.50	28335.50	6300	0	400
2020.10.20	08:00:00	28334.50	28425.50	28318.50	28377.50	5361	0	400
2020.10.20	12:00:00	28380.00	28452.00	28243.00	28369.00	10223	0	400
2020.10.20	16:00:00	28367.50	28575.50	28242.50	28308.50	11319	0	400
2020.10.20	20:00:00	28311.00	28425.50	28160.00	28380.50	3365	0	400
2020.10.21	00:00:00	28382.50	28486.50	28366.50	28458.50	5241	0	500
2020.10.21	04:00:00	28458.00	28478.50	28318.00	28360.00	5561	0	400
2020.10.21	08:00:00	28361.00	28370.00	28197.00	28272.00	7372	0	400
2020.10.21	12:00:00	28274.00	28450.50	28199.50	28253.00	10377	0	400
2020.10.21	16:00:00	28256.50	28422.00	28192.00	28209.50	11475	0	400
2020.10.21	20:00:00	28211.00	28289.00	28003.50	28095.00	3540	0	400
2020.10.22	00:00:00	28098.50	28120.00	28019.00	28030.50	5749	0	500
2020.10.22	04:00:00	28030.00	28142.50	28026.00	28135.50	5995	0	400
2020.10.22	08:00:00	28136.50	28221.50	28119.00	28209.00	6548	0	400
2020.10.22	12:00:00	28212.50	28290.00	28034.00	28174.50	10749	0	400
2020.10.22	16:00:00	28176.50	28420.00	28153.00	28370.00	10272	0	400
2020.10.22	20:00:00	28374.00	28433.50	28346.50	28391.00	2320	0	400
2020.10.23	00:00:00	28393.00	28407.00	28310.50	28390.50	5376	0	500
